Timestamp,Study_author,Publication_year,Study_title,DOI,Exclusion_reason,Comment for Exclusion_reason,Study_type,"Comment for study_type
Record comments for the question above if needed (i.e. study type does not lie within the specified categories). Start with ""NEW"" when noting new study type.",Data_collected_years,Data_collected_locations,TARA_focus ,TARA_region,"TARA_region_specific
List the locations where the study was completed in NSW. If multiple locations seperate by with ; ","Threat_source_category_1
Select more than one of applicable.",Threat_source ,Comment for threat_source,"Specific_threat_source 
If detailed specify the actual threat activity. If multiple threat activities are listed seperate terms in a list with ;",Receptor_category-threat_receptor ,Comment for receptor_category-threat_receptor,"Specific_receptor_category-threat_receptor
If detailed list the specific receptor. If there is more than one receptor measured list these as terms separated by ;","Mechanism for receptor threat relationship
If detailed list the mechanism through which the threat has an effect on the receptor (e.g. disease). These should align with the mechanisms outlined in the EBR.","Outcome_trend
Specify the overall outcome of the threat receptor interaction specified. If there is more than one threat receptor combination, or more than one outcome measured please return the main effect here and specify other effects in the free text category below.","Comment_outcome_trend
Comment for outcome trend. If other outcomes need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Outcome_measured
If stated specify the outcome measured (from which the trend is specified above). If multiple outcomes are measured please list these as terms (3 words or less) separated by ;","Condition_comparator
If condition of the receptor (i.e. marine asset) is discussed in the article, specify what the condition is compared too. For example this could be a year, or a treatment condition. ","Condition_trend
If the condition of the asset is discussed specify the outcome of the asset compared to the comparator. ","Comment_condition_trend
Comment for condition trend. If other conditions need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Condition_measured
If stated specify the parameter through which condition is measured (from which the trend is specified above). If multiple condition are measured please list these as terms (3 words or less) separated by ;",Comment for extraction
8/22/2022 10:28:04,Nimbs,2016,"Is Port Stephens, eastern Australia, a global hotspot for biodiversity of Aplysiidae (Gastropoda: Heterobranchia)?",10.1080/13235818.2016.1207280,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,1 - North,Port Stephens,,,,,21 - Estuarine habitats and assemblages - Subtidal reefs,,Sea slugs (various),,,,Diversity,,Other/Unclear/Not specified,,,Port Stephens is a taxonomic hotspot for sea slugs in Australia
8/22/2022 10:35:03,Nimbs,2016,"An illustrated inventory of the sea slugs of New South Wales, Australia (GastropodA: heterobranchia)",10.1071/rs16011,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 10:44:51,Nimbs,2016,"Welcome strangers: Southern range extensions for seven heterobranch sea slugs (Mollusca: Gastropoda) on the subtropical east Australian coast, a climate change hot spot",10.1016/j.rsma.2016.08.008,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,Australia,1 - Coastal and marine,1 - North,Solitary Islands; Minnie Water,Climate change,38 - Climate and sea temperature rise 20 years,,,8 - Marine habitats and assemblages - Shallow reefs; 6 - Marine habitats and assemblages - Planktonic assemblages,,Sea slugs (various),Range expansion,Other/Unclear/Not specified,,Species records (surveys),,,,,Seven species further South than previously recorded range. 
8/22/2022 10:56:25,Nimbs,2016,Southern range extensions for twelve heterobranch sea slugs (Gastropoda: Heterobranchia) on the eastern coast of Australia,10.1186/s41200-016-0027-4,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,2 - Estuarine,1 - North,Port Stephens,Climate change,38 - Climate and sea temperature rise 20 years,,,21 - Estuarine habitats and assemblages - Subtidal reefs,,Sea slugs (various),Range expansion,Other/Unclear/Not specified,,Species records (surveys),,,,,A further 12 species showing a range expansion
8/22/2022 11:00:37,Murphy,2015,Predicting changes in distribution of a large coastal shark in the face of the strengthening East Australian Current,10.3354/meps13322,No full-text available,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 11:03:05,Murphy,2015,"Shorebird usage of three intertidal coastal rock platforms on the new South Wales central coast, Australia",,The study is not peer-reviewed (i.e. not academic literature),,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 11:14:57,Morris,2016,Evaluation of Runup Characteristics on the NSW Coast,10.2112/SI75-238.1,NA - study included for data extraction,,"Primary-field, Modelling/theoretical",,Pre 2015,NSW,"1 - Coastal and marine, 3 - Social, 5 - Economic","1 - North, 2 - Central, 3 - South",Kingscliff; Brunswick Heads; Belongil; Main beach;Avoca;Narrabeen;Moruya beach,Climate change,41 - Sea level rise 20 years; 46 - Sea level rise 50 years,,Wave runup (inundation),"2 - Marine habitats and assemblages - Beaches; 28 - Participation - Safety, health and wellbeing",,,Coastal erosion,Other/Unclear/Not specified,,Runup potential,,,,,Runup inundation potential increases for all beaches except for Main Beach and Brunswick Heads. Beaches in central NSW look to be the most impacted.
8/22/2022 11:23:06,Morgan,2019,Assessment of genetic structure among Australian east coast populations of snapper Chrysophrys auratus (Sparidae),10.1071/MF18146,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,Australia,"1 - Coastal and marine, 5 - Economic","1 - North, 2 - Central, 3 - South",,,,,,5 - Marine habitats and assemblages - Fish assemblages,,"Australian east coast snapper, Chrysophrys auratus",,,,,,Other/Unclear/Not specified,,Genetic diversity ,QLD and NSW are targeting the same biological stock of snapper (Vic and Tas share another stock)
8/22/2022 11:35:24,Mizere,2021,No evidence for tropicalization of coral assemblages in a subtropical climate change hot spot,10.1007/s00338-021-02167-x,NA - study included for data extraction,,"Primary-field, Modelling/theoretical",,Pre 2015,NSW,1 - Coastal and marine,1 - North,Solitary Islands,Climate change,38 - Climate and sea temperature rise 20 years,,Warming ,8 - Marine habitats and assemblages - Shallow reefs,,Hard coral species,Range expansion (tropicalisation),Neutral (no effect),No increase in abundance of tropical coral taxa. Modelling suggests low probability of larval recruitment from Southern GBR. Only a small decrease in coral cover measured (despite bleaching/disease/storms). ,"Abundance, cover, diversity",,,,,No tropicalisation. 
8/22/2022 13:35:41,Melwani,2015,Differential proteomic response of Sydney rock oysters (Saccostrea glomerata) to prolonged environmental stress,10.1016/j.aquatox.2016.01.003,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,2 - Estuarine,2 - Central,Sydney,Land based activities,73 - Sediment contamination; 28 - Urban stormwater discharge,,Storm water and legacy contamination.,17 - Estuarine habitats and assemblages - Rocky shores; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Sydney rock oysters, Saccostrea glomerata","Persistant organic pollutants, heavy metals",Negative,,Proteomics,,,,,"Oysters do not acclimate to prolonged, intergenerational exposure to environmental disturbance. Instead, they retain proteomes that are clearly distinct from oysters living at less impacted sites, and those proteomes reflect ongoing cellular stress"
8/22/2022 18:19:28,McKenzie,2020,"Submarine groundwater discharge: A previously undocumented source of contaminants of emerging concern to the coastal ocean (Sydney, Australia)",10.1016/j.marpolbul.2020.111519,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,"1 - Coastal and marine, 2 - Estuarine",2 - Central,Sydney,Land based activities,0 - Other/Unclear/NEW,NEW_Ground_water,Contaminants of emerging concern (CECs) in submarine groundwater discharge,1 - Clean waters - Ocean waters; 12 - Clean waters - Estuarine waters,No specific,,,,,,,,,,"Two compounds (ibuprofen and dioxins) were in concentrations deemed a high risk to the ecosystem. Overall, we demonstrate that SGD can act as a vector for CECs negatively impacting coastal water quality. Highlight the role of flushing at sites mediating pollution input."
8/22/2022 18:44:41,Mazumder,2015,Inputs of anthropogenic nitrogen influence isotopic composition and trophic structure in SE Australian estuaries,10.1016/j.marpolbul.2015.08.047,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,2 - Central,Sydney,Land based activities,"64 - Water pollution on environmental values - septic runoff, point source pollution and sewage overflows",,Nitrogen loading from various sources ,"14 - Estuarine habitats and assemblages - Fish assemblages; 15 - Estuarine habitats and assemblages - Mangroves, 19 - Estuarine habitats and assemblages - Seagrass",,Grazing crabs; Ambassid fish; Change of estuarine foodwebs from macroalgae to microalgae,Trophic levels through elevated N levels promoting growth of algae ,Neutral (no effect),No effect on change of trophic structure. ,Stable isotopes,,,,,"Nitrogen pollution reflected the degree of anthropogenic modification and nitrogen pollution in the estuaries, and corresponded to population density within the catchments."
8/22/2022 18:58:25,Mayer-Pinto,2018,Artificial structures alter kelp functioning across an urbanised estuary,10.1016/j.marenvres.2018.05.004,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,"2 - Estuarine, 5 - Economic",2 - Central,Sydney,Land based activities,29 - Foreshore development,,Pilings (artificial marine structures),17 - Estuarine habitats and assemblages - Rocky shores; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Kelp, Ecklonia radiata",Shading; change in flow; increased anthropogenic activity,Negative,,"Kelp photophysiology, abundance and erosion rates",,,,,"Kelp more abundant on reefs than pilings. Kelp eroded more quickly on reefs than on pilings regardless of location. Decreases in photosynthetic activity at inner (and more impacted) sites, this was not related to habitat type (i.e. pilings vs. natural reefs)."
8/22/2022 19:13:02,Mayer-Pinto,2018,Functional and structural responses to marine urbanisation,10.1088/1748-9326/aa98a5,NA - study included for data extraction,,Primary-field,Also literature synthesis,Pre 2015,NSW,2 - Estuarine,2 - Central,Sydney,Land based activities,29 - Foreshore development,,Pilings and sea walls,17 - Estuarine habitats and assemblages - Rocky shores; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"Intertidal epibenthic assemblages; Sydney rock oyster, Saccostrea glomerata ",Various; cleaning; novel niches; shading; water flow,Other/Unclear/Not specified,"Natural rocky shores had 25 % more taxa, pilings supported greater secondary productivity. Smaller oysters on pilings but no difference in filtration. More invasive species found on artificial structures.",,,,,,
8/23/2022 11:05:39,Manning,2017,"Levels of PCDD/Fs and dioxin-like PCBs in seafood from Sydney Harbour, Australia",10.1016/j.envpol.2017.02.042,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022 11:10:26,Manning,2019,"Deepwater ocean outfalls: A sustainable solution for sewage discharge for mega-coastal cities (Sydney, Australia): Influences on beach water quality",10.1016/j.marpolbul.2019.05.010,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022 11:23:46,Manning,2017,A holistic investigation of the ecological correlates of abundance and body size for the endangered White's seahorse Hippocampus whitei,10.1111/jfb.13745,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,2 - Estuarine,1 - North,Port Stephens,,,,,10 - Threatened and protected species - Species and communities protected under FMA; 21 - Estuarine habitats and assemblages - Subtidal reefs,"White's seahorse, Hippocampus whitei",,,,,,Shallow and deeper seagrass/sponge/soft coral habitats,Positive,,Density,"This study estimated a H. whitei population at one seagrass bed (Little Beach) at a density almost twice that previously recorded in in the deeper habitats (seagrass gardens; Harasti, 2016). The H. whitei densities found among the seagrass beds in the medium-scale study may therefore reflect a habitat shift of the population in response to habitat loss at greater depths."
8/23/2022 11:36:19,Mamo,2021,CONSERVATION GENOMICS OF A CRITICALLY ENDANGERED BROWN SEAWEED,10.1111/jpy.13177,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,1 - North,"Minnie Water; Diggers Camp; Woolgoolga; Charlesworth Bay; Little Muttonbird Island, Coffs Harbour; Eastern breakwater; Korff Island; Sawtell; Nambucca Heads; South West Rocks; Crowdy Head",,,,,8 - Marine habitats and assemblages - Shallow reefs; 10 - Threatened and protected species - Species and communities protected under FMA,,"Macroalgae, Nereia lophocladia",,,,,,Other/Unclear/Not specified,,Presence/absence and genetic diversity,Nereia found at six additional sites. Highly inbred populations at each site indicate little gene flow and high vulnerability to anthropogenic stress and climate change.
8/23/2022 11:45:26,Malcolm,2018,Targeted fishes are larger and more abundant in ‘no-take’ areas in a subtropical marine park,10.1016/j.ecss.2018.07.003,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,"1 - Coastal and marine, 5 - Economic",1 - North,Solitary Islands,Resource use,11 - Boat-based line and trap fishing,,,5 - Marine habitats and assemblages - Fish assemblages,,Fish (various),Mortality (kept fish),,,,MPAs (take and no take),Positive,,Size and abundance,Targeted fish were larger and more abundant in ‘no take’ areas in the subtropical Solitary Islands Marine Park (SIMP) compared to ‘partially protected’ areas or areas outside the marine park. Abundance and length of fish in ‘partially protected’ areas that are fished widid not differ from fished areas except for venus tuskfish in all four years. No difference in bycatch after 14 years of protection.
8/23/2022 11:56:54,Malcolm,2019,"trong fish assemblage patterns persist over sixteen years in a warming marine park, even with tropical shifts",10.1016/j.biocon.2019.02.005,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,1 - Coastal and marine,1 - North,Solitary Islands,Climate change,38 - Climate and sea temperature rise 20 years,,,5 - Marine habitats and assemblages - Fish assemblages,,Fish (various),Range expansion (tropicalisation),Other/Unclear/Not specified,,,,,,,"Overall, strong cross shelf patterns have persisted over the duration of this study in this marine park.Temperature was significant and important for three groups: temperates, subtropical endemics and chaetodontids (coral association)."
8/23/2022 12:14:32,Ross,2015,"Long-term trends in cetacean incidents in New South Wales, Australia",10.7882/AZ.2015.015,NA - study included for data extraction,,"Primary-field, Database search for records",,Pre 2015,NSW,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",,Resource use,11 - Boat-based line and trap fishing; 9 - Line fishing; 3 - Ocean trap and line; 71 - Pests and diseases; 70 - Reductions in abundances of species and trophic levels,,Incidents,11 - Threatened and protected species - Species protected under BCA,,Cetaceans (various),"Entanglements, vessel strike",Negative,,Number of incidents over time (1790 - 2013),,,,,"Over the history of the database, there has been an average of 12.6 incidents per year. There has been an increase in reports over time with an average of 1.3 incidents reported per year prior to 1960, and an average 43.5 reported per year in the last three years (2010-13). However, more incidents were related to anthropogenic causes (e.g. entanglements, vessel strike) than natural causes (e.g. disease, calf mortality)."
8/23/2022 12:20:27,Linklater,2019,Techniques for Classifying Seabed Morphology and Composition on a Subtropical-Temperate Continental Shelf,10.3390/geosciences9030141,The study is only theoretical/methodological,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022 12:37:08,Lee,2022,"Dehalobium species implicated in 2,3,7,8-tetrachlorodibenzo-p-dioxin dechlorination in the contaminated sediments of Sydney Harbour Estuary",10.1016/j.marpolbul.2022.113690,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,2 - Estuarine,2 - Central,Sydney ,Land based activities,33 - Industrial discharges; 73 - Sediment contamination,,PCDD/Fs,12 - Clean waters - Estuarine waters; 14 - Estuarine habitats and assemblages - Fish assemblages; 20 - Estuarine habitats and assemblages - Shallow soft sediments,,General estuary health. ,Toxicity,Positive,,Contaminant levels and microbial communities in sediment,,,,,"The most significant transformation observed was a 50% decrease over a decade in the most toxic and concerning congener 2,3,7,8-TCDD since previous measurements in 2007. Findings show promise for the bioremediation of marine sediments contaminated with PCDD/F."
8/23/2022 13:38:00,Lavers,2019,Detection of ultrafine plastics ingested by seabirds using tissue digestion,10.1016/j.marpolbul.2019.04.001,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,,Lord Howe Island,Land based activities,"67 - Water pollution on environmental values - litter, solid waste, marine debris and microplastics",,,0 - Other/Unclear/NEW,Seabirds,"Flesh-footed Shearwater, Ardenna carneipes",Plastic ingestion,Other/Unclear/Not specified,,Presence/absence ,,,,,7% of birds had ultra fine plastic particles present in their gizzards
8/23/2022 13:49:01,Lachs,2021,"Linking population size structure, heat stress and bleaching responses in a subtropical endemic coral",10.1007/s00338-021-02081-2,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,1 - Coastal and marine,1 - North,Solitary Islands,Climate change,38 - Climate and sea temperature rise 20 years,,,8 - Marine habitats and assemblages - Shallow reefs,,"Hard coral, Pocillopora aliciae","Coral bleaching, recruitment",Negative,,Size of colonies,,,,,"Thermal stress associations were observed, whereby suppressed recruitment processes occurred during periods of high heat stress and even moderate levels of heat stress not normally considered detrimental for corals. We also recorded a 51% decline in P. aliciae colony density post-2016 and the most intense marine heatwave at the Solitary Islands since at least 1985."
8/23/2022 13:58:19,Kiggins,2020,Fish assemblages in protected seagrass habitats: Assessing fish abundance and diversity in no-take marine reserves and fished areas,10.1016/j.aaf.2019.10.004,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,3 - South,Jervis Bay,Resource use,11 - Boat-based line and trap fishing; 63 - Excessive or illegal extraction; 9 - Line fishing,,,14 - Estuarine habitats and assemblages - Fish assemblages; 19 - Estuarine habitats and assemblages - Seagrass,,,Mortality (kept fish),,,,MPAs (take and no take),Neutral,,Fish abundance,"No differences in total fish abundance, diversity, or assemblage composition between management zones, although observed a significant increase in Haletta semifasciata, a locally targeted fish species, in no-take marine reserves compared with fished areas."
8/23/2022 14:10:30,Kiggins,2018,Miniature baited remote underwater video (mini-BRUV) reveals the response of cryptic fishes to seagrass cover,10.1007/s10641-018-0823-2,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,2 - Estuarine,3 - South,Jervis Bay,"Resource use, Land based activities","32 - Agricultural diffuse source runoff; 19 - Boating and boating infrastructure; 26 - Oil, gas, minerals, sand, aggregate, mining coal; 66 - Water pollution on environmental values - agricultural diffuse source runoff; 64 - Water pollution on environmental values - septic runoff, point source pollution and sewage overflows",,Various (not specified),14 - Estuarine habitats and assemblages - Fish assemblages; 19 - Estuarine habitats and assemblages - Seagrass,,Cryptic species associated with Posidonia australis,,Positive,,Cover of seagrass and abundance and diversity of cryptic fauna,,,,,Positive relationship with the condition of P. australis; a high cover of this seagrass had positive effects on the diversity and abundance of cryptic fauna.
8/23/2022 14:32:11,Kelaher,2019,Effect of Desalination Discharge on the Abundance and Diversity of Reef Fishes,10.1021/acs.est.9b03565,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,2 - Central,Sydney,Land based activities,"64 - Water pollution on environmental values - septic runoff, point source pollution and sewage overflows",,Brine outlet from desalination plant,3 - Marine habitats and assemblages - Deep reefs; 5 - Marine habitats and assemblages - Fish assemblages,,Various fish assemblage,Artificial structure; brine (high salinity) outlet; altered flow,Other/Unclear/Not specified,,"Fish abundance, richness, diversity ",Reference sites (reefs) and no brine,,,,"The positive discharge effect was mostly driven by a near 3-fold increase in the numbers of fish around the outlet during discharge, although there was also a trend for greater fish species richness. Hypersaline discharge did not significantly influence benthic or herbivorous fish abundances. The structure of fish assemblages around the desalination outlet reverted to those found on natural reefs when brine discharge was halted."
8/23/2022 14:43:14,Jongejan,2016,Drawing the line on coastline recession risk,10.1016/j.ocecoaman.2016.01.006,The study is only theoretical/methodological,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022 14:54:50,Jahan,2019,Interrelationship of microplastic pollution in sediments and oysters in a seaport environment of the eastern coast of Australia,10.1016/j.scitotenv.2019.133924,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,2 - Estuarine,"1 - North, 2 - Central, 3 - South",Port Yamba; Port Newcastle; Port Jackson; Port Kembla; Port Eden,Land based activities,"67 - Water pollution on environmental values - litter, solid waste, marine debris and microplastics",,Microplastics,21 - Estuarine habitats and assemblages - Subtidal reefs,,Oysters,"Accumulate plastic through filter feeding, toxic and bioaccumulate in food chain",Other/Unclear/Not specified,,Microplastic load,,,,,"Oysters had a larger amount of plastic than sediments. Plastic levels in sediments and oysters followed same patterns. Intensive shipping and use ports had highest plastic levels (Jackson, Yamba and Eden)"
8/23/2022 15:03:23,Jahan,2017,Water quality assessment of Australian ports using water quality evaluation indices,10.1371/journal.pone.0189284,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",Port Jackson; Botany; Newcastle; Kembla; Eden; Yamba,Land based activities,"19 - Boating and boating infrastructure; 1 - Large commercial vessels and associated port activities and industries; 26 - Oil, gas, minerals, sand, aggregate, mining coal; 67 - Water pollution on environmental values - litter, solid waste, marine debris and microplastics",,Threats associated with Ports,1 - Clean waters - Ocean waters,,,Water quality impacts,Negative,,,,,,,"The study revealed medium water quality index and high and medium heavy metal evaluation index at three of the study ports and high contamination index in almost all study ports. Low level dissolved oxygen and higher level of total dissolved solids, turbidity, fecal coliforms, copper, iron, lead, zinc, manganese, cadmium and cobalt are mainly responsible for the poor water qualities of the port areas."
8/23/2022 15:05:37,Jafari,2020,"Trace element soil contamination from smelters in the Illawarra region, New South Wales, Australia",10.1007/s12665-020-09115-y,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022 15:10:47,Hurtado-McCormick,2019,Regional and Microenvironmental Scale Characterization of the Zostera muelleri Seagrass Microbiome,10.3389/fmicb.2019.01011,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022 15:22:43,Hughes,2021,"Factors affecting seabird abundance and interaction with the nearshore ‘for hire’ recreational charter fishery in New South Wales, Australia",10.1002/aqc.3769,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,"2 - Central, 3 - South",Various ports from Swansea to Narooma,Resource use,11 - Boat-based line and trap fishing; 3 - Ocean trap and line; 79 - Wildlife interactions,,Recreational fishers nearshore,11 - Threatened and protected species - Species protected under BCA,,Various seabirds,Bycatch and interactions,Other/Unclear/Not specified,,Interactions with fishery,,,,,Recreational hook and-line fishery profiled in this study – coastal marine vessel-based angling chiefly using a baited paternoster rig – appears to be a relatively low-risk activity with just a single bycatch event recorded over 630 h (135 trips) of observed fishing (0.16 events per 100 h).
8/23/2022 15:28:11,Huveneers,2021,Continental-Scale Network Reveals Cross-Jurisdictional Movements of Sympatric Sharks With Implications for Assessment and Management,10.3389/fmars.2021.697175,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2022 15:57:53,Holmer,2017,Drivers of sulfide intrusion in Zostera muelleri in a moderately affected estuary in south-eastern Australia,10.1071/MF16402,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,NSW,2 - Estuarine,1 - North,Wallis Lake,Land based activities,"66 - Water pollution on environmental values - agricultural diffuse source runoff; 64 - Water pollution on environmental values - septic runoff, point source pollution and sewage overflows",,Anoxia from eutrophication,19 - Estuarine habitats and assemblages - Seagrass,,Seagrass,Sulfide intrusion (can reduce growth and cause mortality under anoxic conditions),Negative,,"N content, shoot density, biomass",,,,,"The sulfide intrusion was generally high in Z. muelleri and linked to N enrichment. Because higher sulfide intrusion was concurrent with lower shoot density and biomass, the sulfide intrusion may be an early sign of the negative effects of nutrient enrichment. However, High oxygen release from Z. muelleri provides high tolerance for sulfide intrusion and is a unique adaptation, which allows high abundance and productivity of Z. muelleri in estuarine sediments."
8/23/2022 16:12:58,Huang,2021,High-resolution marine heatwave mapping in Australasian waters using Himawari-8 SST and SSTAARS data,10.1016/j.rse.2021.112742,NA - study included for data extraction,,"Primary-field, Modelling/theoretical",,Post 2015,Australia,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",,Climate change,38 - Climate and sea temperature rise 20 years,,Marine Heat Waves,,,,,,,,,,,,"Note that no areas in NSW were highlighted as a MHW hotspot (context whole of Australia). However, the Tropical Warm Pool Region (which includes the GBR and part of the coral sea) is a MHW hotspot region. NSW directly impacted by this through the EAC."
8/23/2022 17:24:46,Harasti,2018,Increase in Relative Abundance and Size of Snapper Chrysophrys auratus Within Partially-Protected and No-Take Areas in a Temperate Marine Protected Area,10.3389/fmars.2018.00208,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,,2 - Estuarine,1 - North,Port Stephens ,Resource use,11 - Boat-based line and trap fishing; 63 - Excessive or illegal extraction; 9 - Line fishing,,,5 - Marine habitats and assemblages - Fish assemblages; 14 - Estuarine habitats and assemblages - Fish assemblages,,"Australian east coast snapper, Chrysophrys auratus",Mortality (kept fish),,,,MPAs (take and no take),Positive,,,"Surveys across the five no-take areas found a significant increase in the abundance of C. auratus, whilst the five partially-protected locations in the marine park still recorded higher abundances than sites outside the marine park. Length measurements from indicated that C. auratus were significantly larger in no-take areas compared to partially-protected areas in the marine park and sites outside the marine park. "
8/23/2022 17:34:58,Harasti,2018,Assessment of rock pool fish assemblages along a latitudinal gradient,10.1007/s12526-016-0560-8,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",Various sites,,,,,7 - Marine habitats and assemblages - Rocky shores; 17 - Estuarine habitats and assemblages - Rocky shores,,Rock pool fish assemblages,,,,Fish abundance; Fish diversity,Latitudinal gradient.,Other/Unclear/Not specified,,,This paper provides a baseline of fish assemblages found in rock pools. Find decreasing species richness at higher latitudes. Greatest diversity occurred in Port Stephens
8/23/2022 17:52:59,Harasti,2017,Juvenile white sharks Carcharodon carcharias use estuarine environments in south-eastern Australia,10.1007/s00227-017-3087-z,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,Australia,"1 - Coastal and marine, 2 - Estuarine, 3 - Social",1 - North,Port Stephens,,,,,5 - Marine habitats and assemblages - Fish assemblages; 10 - Threatened and protected species - Species and communities protected under FMA; 14 - Estuarine habitats and assemblages - Fish assemblages,,"Juvenile white shark, Carcharodon carcharias",,,,,,Other/Unclear/Not specified,,Presence of juvenile sharks in estuaries,We found that a high percentage (~56%) of juvenile white sharks tagged on the east coast of Australia used the Port Stephens estuary. These findings suggest that juvenile white sharks may be exposed to estuarine-based anthropogenic impacts previously not considered as representing significant threats.
8/23/2022 18:03:12,Harasti,2018,"A tale of two islands: Decadal changes in rocky reef fish assemblages following implementation of no-take marine protected areas in New South Wales, Australia",10.1016/j.rsma.2017.10.011,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,"1 - Coastal and marine, 2 - Estuarine",1 - North,Port Stephens,Resource use,11 - Boat-based line and trap fishing; 63 - Excessive or illegal extraction; 9 - Line fishing,,,5 - Marine habitats and assemblages - Fish assemblages; 14 - Estuarine habitats and assemblages - Fish assemblages,,Fish (various),Mortality (kept fish),,,,MPAs (take and no take),Positive,,,"Implementation of two no-take zones within the PSGLMP has had a positive influence on fish assemblages and recovery of fishery targeted families. Response of communities and individual species was highly variable between locations. The Broughton Island no-take zone appears to be highly successful with positive effects occurring rapidly. The Fingal Island no-take zone has also promoted recovery of fishery targeted families, but to a lesser extent."
8/24/2022 13:35:07,Harasti,2016,Declining seahorse populations linked to loss of essential marine habitats,10.3354/meps11619,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,2 - Estuarine,1 - North,Port Stephens,,,,,10 - Threatened and protected species - Species and communities protected under FMA; 19 - Estuarine habitats and assemblages - Seagrass; 20 - Estuarine habitats and assemblages - Shallow soft sediments; 21 - Estuarine habitats and assemblages - Subtidal reefs,,"White's seahorse, Hippocampus whitei",,,,,Population estimates in 2006,Negative,,Abundance,"Population estimates found that the population at the Seahorse Gardens site had declined by 97% between 2009 and 2015, and at the Pipeline site was found to decrease by 83%. Comparison of habitat composition data found a significant decline in available marine habitats between 2009 and 2015 at both sites. The preferred habitats of H. whitei had significantly declined at both sites, with D. australis declining at the Seahorse Gardens site by ~96% from 2009 to 2015 and by ~73% at the Pipeline site, whilst sponge habitat was also found to decline by ~49% at the Seahorse Gardens site and ~25% at the Pipeline site."
8/24/2022 13:56:58,Kenworthy,2016,Response of benthic assemblages to multiple stressors: comparative effects of nutrient enrichment and physical disturbance,10.3354/meps11935,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
